#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ABL1,PLCG1,9606.ENSP00000361423,9606.ENSP00000244007,0,0,0,0.548,0.091,0.361,0,0.176,0.479
ABL1,SMO,9606.ENSP00000361423,9606.ENSP00000249373,0,0,0,0,0.072,0.071,0,0.625,0.648
ABL1,MLLT1,9606.ENSP00000361423,9606.ENSP00000252674,0,0,0,0,0.186,0,0,0.544,0.613
ABL1,RARA,9606.ENSP00000361423,9606.ENSP00000254066,0,0,0,0,0.063,0.097,0,0.695,0.719
ABL1,H3-3B,9606.ENSP00000361423,9606.ENSP00000254810,0,0,0,0,0.070,0.095,0,0.427,0.476
ABL1,KRAS,9606.ENSP00000361423,9606.ENSP00000256078,0,0,0,0,0.074,0.110,0,0.669,0.703
ABL1,CDK4,9606.ENSP00000361423,9606.ENSP00000257904,0,0,0,0.607,0.097,0.098,0.400,0.511,0.729
ABL1,MDM2,9606.ENSP00000361423,9606.ENSP00000258149,0,0,0,0,0,0.628,0,0.732,0.896
ABL1,BARD1,9606.ENSP00000361423,9606.ENSP00000260947,0,0,0,0,0,0.095,0.500,0.175,0.594
ABL1,CCND2,9606.ENSP00000361423,9606.ENSP00000261254,0,0,0,0,0,0.292,0.400,0.373,0.710
ABL1,CDH1,9606.ENSP00000361423,9606.ENSP00000261769,0,0,0,0,0,0.067,0,0.418,0.433
ABL1,PDGFRB,9606.ENSP00000361423,9606.ENSP00000261799,0,0,0,0.581,0.093,0.316,0,0.376,0.580
ABL1,SMAD2,9606.ENSP00000361423,9606.ENSP00000262160,0,0,0,0,0.091,0.091,0,0.392,0.454
ABL1,AXIN1,9606.ENSP00000361423,9606.ENSP00000262320,0,0,0,0,0.098,0.127,0,0.308,0.407
ABL1,CREBBP,9606.ENSP00000361423,9606.ENSP00000262367,0,0,0,0,0.304,0.047,0,0.415,0.578
ABL1,TCF3,9606.ENSP00000361423,9606.ENSP00000262965,0,0,0,0,0.108,0,0.500,0.658,0.834
ABL1,CCDC6,9606.ENSP00000361423,9606.ENSP00000263102,0,0,0,0,0.067,0,0,0.561,0.572
ABL1,EP300,9606.ENSP00000361423,9606.ENSP00000263253,0,0,0,0,0.304,0.230,0,0.438,0.673
ABL1,BRD4,9606.ENSP00000361423,9606.ENSP00000263377,0,0,0,0,0.072,0,0,0.448,0.466
ABL1,BIRC3,9606.ENSP00000361423,9606.ENSP00000263464,0,0,0,0,0,0.092,0,0.423,0.454
ABL1,PIK3CA,9606.ENSP00000361423,9606.ENSP00000263967,0,0,0,0,0.049,0.069,0,0.754,0.763
ABL1,CBL,9606.ENSP00000361423,9606.ENSP00000264033,0,0,0,0,0.063,0.896,0.900,0.685,0.996
ABL1,YWHAE,9606.ENSP00000361423,9606.ENSP00000264335,0,0,0,0,0.068,0.661,0,0.178,0.718
ABL1,STAT3,9606.ENSP00000361423,9606.ENSP00000264657,0,0,0,0,0.121,0.096,0,0.611,0.664
ABL1,MECOM,9606.ENSP00000361423,9606.ENSP00000264674,0,0,0,0,0,0.071,0,0.458,0.475
ABL1,DNMT3A,9606.ENSP00000361423,9606.ENSP00000264709,0,0,0,0,0.069,0.058,0,0.571,0.591
ABL1,NBN,9606.ENSP00000361423,9606.ENSP00000265433,0,0,0,0,0,0,0.500,0.134,0.548
ABL1,CDK6,9606.ENSP00000361423,9606.ENSP00000265734,0,0,0,0.614,0.073,0.098,0.400,0.227,0.560
ABL1,ERBB3,9606.ENSP00000361423,9606.ENSP00000267101,0,0,0,0.580,0,0.400,0,0.395,0.621
ABL1,RB1,9606.ENSP00000361423,9606.ENSP00000267163,0,0,0,0,0.049,0.736,0.900,0.312,0.980
ABL1,TRIP11,9606.ENSP00000361423,9606.ENSP00000267622,0,0,0,0,0.074,0.095,0,0.388,0.443
ABL1,PML,9606.ENSP00000361423,9606.ENSP00000268058,0,0,0,0,0.049,0.053,0,0.507,0.517
ABL1,TP53,9606.ENSP00000361423,9606.ENSP00000269305,0,0,0,0,0.056,0.292,0,0.875,0.909
ABL1,ERBB2,9606.ENSP00000361423,9606.ENSP00000269571,0,0,0,0.591,0.049,0.615,0,0.325,0.731
ABL1,EGFR,9606.ENSP00000361423,9606.ENSP00000275493,0,0,0,0.591,0.067,0.790,0,0.347,0.861
ABL1,ATM,9606.ENSP00000361423,9606.ENSP00000278616,0,0,0,0,0,0.820,0.750,0.774,0.988
ABL1,MYCN,9606.ENSP00000361423,9606.ENSP00000281043,0,0,0,0,0,0.060,0,0.420,0.431
ABL1,RANBP2,9606.ENSP00000361423,9606.ENSP00000283195,0,0,0,0,0.042,0.117,0,0.501,0.541
ABL1,MSI2,9606.ENSP00000361423,9606.ENSP00000284073,0,0,0,0,0,0,0,0.562,0.562
ABL1,ERCC3,9606.ENSP00000361423,9606.ENSP00000285398,0,0,0,0,0.060,0,0,0.506,0.516
ABL1,CSF1R,9606.ENSP00000361423,9606.ENSP00000286301,0,0,0,0.604,0.055,0.074,0,0.504,0.528
ABL1,GNAQ,9606.ENSP00000361423,9606.ENSP00000286548,0,0,0,0,0.067,0,0,0.437,0.453
ABL1,NRG1,9606.ENSP00000361423,9606.ENSP00000287842,0,0,0,0,0,0.084,0,0.474,0.497
ABL1,KIT,9606.ENSP00000361423,9606.ENSP00000288135,0,0,0,0.598,0.056,0.181,0,0.601,0.664
ABL1,U2AF1,9606.ENSP00000361423,9606.ENSP00000291552,0,0,0,0,0,0,0,0.478,0.478
ABL1,FGFR4,9606.ENSP00000361423,9606.ENSP00000292408,0,0,0,0.654,0.055,0.074,0,0.378,0.408
ABL1,STAT5B,9606.ENSP00000361423,9606.ENSP00000293328,0,0,0,0,0.065,0.439,0.900,0.727,0.983
ABL1,TAL1,9606.ENSP00000361423,9606.ENSP00000294339,0,0,0,0,0,0.046,0,0.480,0.482
ABL1,TLX3,9606.ENSP00000361423,9606.ENSP00000296921,0,0,0,0,0,0.048,0,0.738,0.739
ABL1,NPM1,9606.ENSP00000361423,9606.ENSP00000296930,0,0,0,0,0.064,0,0,0.697,0.704
ABL1,RUNX1,9606.ENSP00000361423,9606.ENSP00000300305,0,0,0,0,0.042,0,0.400,0.793,0.871
ABL1,BCR,9606.ENSP00000361423,9606.ENSP00000303507,0,0,0,0,0.083,0.737,0.900,0.869,0.996
ABL1,FEN1,9606.ENSP00000361423,9606.ENSP00000305480,0,0.001,0,0,0.073,0.060,0,0.496,0.523
ABL1,MLLT10,9606.ENSP00000361423,9606.ENSP00000307411,0,0,0,0,0.074,0,0,0.479,0.496
ABL1,TERT,9606.ENSP00000361423,9606.ENSP00000309572,0,0,0,0,0,0.049,0,0.599,0.603
ABL1,CASP3,9606.ENSP00000361423,9606.ENSP00000311032,0,0,0,0,0.067,0.067,0,0.586,0.608
ABL1,NUP98,9606.ENSP00000361423,9606.ENSP00000316032,0,0,0,0,0.060,0.045,0,0.669,0.676
ABL1,EZH2,9606.ENSP00000361423,9606.ENSP00000320147,0,0,0,0,0.043,0.077,0,0.590,0.606
ABL1,EML4,9606.ENSP00000361423,9606.ENSP00000320663,0,0,0,0,0.074,0.067,0,0.601,0.626
ABL1,CALR,9606.ENSP00000361423,9606.ENSP00000320866,0,0,0,0,0.107,0,0,0.616,0.643
ABL1,EBF1,9606.ENSP00000361423,9606.ENSP00000322898,0,0,0,0,0.053,0.052,0,0.629,0.637
ABL1,CASP9,9606.ENSP00000361423,9606.ENSP00000330237,0,0,0,0,0.074,0.311,0,0.466,0.629
ABL1,IKZF1,9606.ENSP00000361423,9606.ENSP00000331614,0,0,0,0,0,0.071,0,0.841,0.845
ABL1,IDH2,9606.ENSP00000361423,9606.ENSP00000331897,0,0,0,0,0.044,0,0,0.593,0.594
ABL1,SMAD3,9606.ENSP00000361423,9606.ENSP00000332973,0,0,0,0,0.104,0.091,0,0.367,0.440
ABL1,HSP90AA1,9606.ENSP00000361423,9606.ENSP00000335153,0,0,0,0,0.080,0.788,0,0.922,0.983
ABL1,FIP1L1,9606.ENSP00000361423,9606.ENSP00000336752,0,0,0,0,0.049,0,0,0.684,0.687
ABL1,EPHA3,9606.ENSP00000361423,9606.ENSP00000337451,0,0,0,0.616,0.074,0.292,0.900,0.441,0.958
ABL1,FOXO3,9606.ENSP00000361423,9606.ENSP00000339527,0,0,0,0,0.060,0.094,0,0.451,0.492
ABL1,MYB,9606.ENSP00000361423,9606.ENSP00000339992,0,0,0,0,0.092,0.068,0,0.416,0.463
ABL1,SMARCB1,9606.ENSP00000361423,9606.ENSP00000340883,0,0,0,0,0.063,0.046,0,0.511,0.525
ABL1,SMAD4,9606.ENSP00000361423,9606.ENSP00000341551,0,0,0,0,0.093,0.091,0,0.460,0.516
ABL1,ERBB4,9606.ENSP00000361423,9606.ENSP00000342235,0,0,0,0.596,0,0.400,0,0.500,0.687
ABL1,HOXA9,9606.ENSP00000361423,9606.ENSP00000343619,0,0,0,0,0.042,0.046,0,0.657,0.659
ABL1,ATR,9606.ENSP00000361423,9606.ENSP00000343741,0,0,0,0,0,0.317,0,0.310,0.509
ABL1,GATA2,9606.ENSP00000361423,9606.ENSP00000345681,0,0,0,0,0.088,0.093,0,0.454,0.510
ABL1,RAC1,9606.ENSP00000361423,9606.ENSP00000348461,0,0,0,0,0.089,0.110,0.400,0.227,0.574
ABL1,PAX5,9606.ENSP00000361423,9606.ENSP00000350844,0,0,0,0,0.043,0,0,0.622,0.623
ABL1,NF1,9606.ENSP00000361423,9606.ENSP00000351015,0,0,0,0,0,0.092,0,0.520,0.545
ABL1,CASP8,9606.ENSP00000361423,9606.ENSP00000351273,0,0,0,0,0.064,0.067,0,0.443,0.471
ABL1,NUP214,9606.ENSP00000361423,9606.ENSP00000352400,0,0,0,0,0.058,0,0,0.906,0.907
ABL1,NTRK3,9606.ENSP00000361423,9606.ENSP00000354207,0,0,0,0.629,0,0,0.900,0.192,0.915
ABL1,TOP1,9606.ENSP00000361423,9606.ENSP00000354522,0,0,0,0,0,0.297,0,0.279,0.472
ABL1,MTOR,9606.ENSP00000361423,9606.ENSP00000354558,0,0,0,0,0.067,0.315,0,0.557,0.692
ABL1,FGFR1OP,9606.ENSP00000361423,9606.ENSP00000355812,0,0,0,0,0,0.292,0,0.393,0.552
ABL1,MDM4,9606.ENSP00000361423,9606.ENSP00000356150,0,0,0,0,0,0.298,0,0.369,0.538
ABL1,EPHA7,9606.ENSP00000361423,9606.ENSP00000358309,0,0,0,0.607,0.074,0,0.900,0.336,0.933
ABL1,NRAS,9606.ENSP00000361423,9606.ENSP00000358548,0,0,0,0,0.081,0.110,0,0.667,0.704
ABL1,TLX1,9606.ENSP00000361423,9606.ENSP00000359215,0,0,0,0,0,0.048,0,0.755,0.756
ABL1,GNAS,9606.ENSP00000361423,9606.ENSP00000360141,0,0,0,0,0,0.067,0,0.480,0.494
ABL1,JUN,9606.ENSP00000361423,9606.ENSP00000360266,0,0,0,0,0.049,0.532,0,0.554,0.784
ABL1,HSP90AB1,9606.ENSP00000361423,9606.ENSP00000360609,0,0,0,0,0.091,0.224,0,0.909,0.930
ABL1,PTEN,9606.ENSP00000361423,9606.ENSP00000361021,0,0,0,0,0.048,0.092,0,0.627,0.650
ABL1,AKT1,9606.ENSP00000361423,9606.ENSP00000451828,0,0,0,0.577,0.102,0,0,0.369,0.409
ABL1,XPO1,9606.ENSP00000361423,9606.ENSP00000384863,0,0,0,0,0,0.052,0,0.404,0.411
ABL1,ZMYM2,9606.ENSP00000361423,9606.ENSP00000479904,0,0,0,0,0.049,0.098,0,0.369,0.411
ABL1,PRKAR1A,9606.ENSP00000361423,9606.ENSP00000376475,0,0,0,0,0.069,0,0,0.394,0.412
ABL1,LATS2,9606.ENSP00000361423,9606.ENSP00000372035,0,0,0,0.549,0.062,0.300,0,0.178,0.413
ABL1,CXCR4,9606.ENSP00000361423,9606.ENSP00000386884,0,0,0,0,0.042,0,0,0.417,0.417
ABL1,PRKCB,9606.ENSP00000361423,9606.ENSP00000496129,0,0,0,0.573,0,0.050,0,0.417,0.422
ABL1,CD274,9606.ENSP00000361423,9606.ENSP00000370989,0,0,0,0,0.063,0,0,0.419,0.432
ABL1,PTPN6,9606.ENSP00000361423,9606.ENSP00000391592,0,0,0,0.554,0.055,0.333,0,0.178,0.437
ABL1,FOXO1,9606.ENSP00000361423,9606.ENSP00000368880,0,0,0,0,0.048,0.094,0,0.404,0.441
ABL1,LCK,9606.ENSP00000361423,9606.ENSP00000477713,0,0,0.060,0.882,0.060,0,0,0.427,0.449
ABL1,ITK,9606.ENSP00000361423,9606.ENSP00000398655,0,0,0.077,0.799,0,0,0,0.439,0.460
ABL1,BCL6,9606.ENSP00000361423,9606.ENSP00000384371,0,0,0,0,0.086,0.071,0,0.419,0.463
ABL1,TMPRSS2,9606.ENSP00000361423,9606.ENSP00000381588,0,0,0,0,0.051,0.096,0,0.428,0.467
ABL1,MAP3K1,9606.ENSP00000361423,9606.ENSP00000382423,0,0,0,0.550,0,0.070,0,0.459,0.476
ABL1,RHOA,9606.ENSP00000361423,9606.ENSP00000400175,0,0,0,0,0.079,0.110,0,0.411,0.476
ABL1,CREB1,9606.ENSP00000361423,9606.ENSP00000387699,0,0,0,0,0,0.292,0,0.293,0.478
ABL1,JAK1,9606.ENSP00000361423,9606.ENSP00000499900,0,0,0,0.574,0.064,0.292,0,0.280,0.482
ABL1,GATA1,9606.ENSP00000361423,9606.ENSP00000365858,0,0,0,0,0.055,0.093,0,0.445,0.483
ABL1,HIF1A,9606.ENSP00000361423,9606.ENSP00000437955,0,0,0,0,0,0.071,0,0.484,0.500
ABL1,ZNF384,9606.ENSP00000361423,9606.ENSP00000380019,0,0,0,0,0.121,0.071,0,0.447,0.508
ABL1,SRSF2,9606.ENSP00000361423,9606.ENSP00000376276,0,0,0,0,0.047,0,0,0.506,0.509
ABL1,MPL,9606.ENSP00000361423,9606.ENSP00000361548,0,0,0,0,0,0.045,0,0.507,0.509
ABL1,AR,9606.ENSP00000361423,9606.ENSP00000363822,0,0,0,0,0.042,0.178,0,0.428,0.511
ABL1,BRCA2,9606.ENSP00000361423,9606.ENSP00000369497,0,0,0,0,0,0.137,0,0.460,0.514
ABL1,CTNNA2,9606.ENSP00000361423,9606.ENSP00000384638,0,0,0,0,0,0,0.500,0.069,0.515
ABL1,EWSR1,9606.ENSP00000361423,9606.ENSP00000400142,0,0,0,0,0.048,0.164,0,0.449,0.523
ABL1,RAF1,9606.ENSP00000361423,9606.ENSP00000401888,0,0,0,0.590,0.044,0,0,0.531,0.532
ABL1,NUMA1,9606.ENSP00000361423,9606.ENSP00000377298,0,0,0,0,0.067,0.084,0,0.505,0.540
ABL1,ESR1,9606.ENSP00000361423,9606.ENSP00000405330,0,0,0,0,0,0.071,0,0.528,0.543
ABL1,P2RY8,9606.ENSP00000361423,9606.ENSP00000370697,0,0,0,0,0.094,0.084,0,0.523,0.569
ABL1,DNM2,9606.ENSP00000361423,9606.ENSP00000373905,0,0,0,0,0.067,0.143,0,0.504,0.569
ABL1,CEBPA,9606.ENSP00000361423,9606.ENSP00000427514,0,0,0,0,0.055,0.073,0,0.549,0.570
ABL1,PTPRC,9606.ENSP00000361423,9606.ENSP00000411355,0,0,0,0,0.067,0.097,0,0.533,0.573
ABL1,CCND3,9606.ENSP00000361423,9606.ENSP00000362082,0,0,0,0,0,0,0.400,0.321,0.575
ABL1,RUNX1T1,9606.ENSP00000361423,9606.ENSP00000402257,0,0,0,0,0.042,0.051,0,0.584,0.588
ABL1,SYK,9606.ENSP00000361423,9606.ENSP00000364898,0,0,0,0.730,0.053,0,0,0.592,0.597
ABL1,DEK,9606.ENSP00000361423,9606.ENSP00000498653,0,0,0,0,0,0.046,0,0.599,0.601
ABL1,MYH11,9606.ENSP00000361423,9606.ENSP00000379616,0,0,0,0,0,0.079,0,0.585,0.602
ABL1,PTPN11,9606.ENSP00000361423,9606.ENSP00000489597,0,0,0,0.556,0.063,0.097,0,0.568,0.603
ABL1,TET2,9606.ENSP00000361423,9606.ENSP00000442788,0,0,0,0,0,0,0,0.604,0.604
ABL1,RAD51B,9606.ENSP00000361423,9606.ENSP00000419881,0,0,0,0,0,0.294,0,0.470,0.610
ABL1,WT1,9606.ENSP00000361423,9606.ENSP00000368370,0,0,0,0,0.044,0.071,0,0.598,0.611
ABL1,IDH1,9606.ENSP00000361423,9606.ENSP00000390265,0,0,0,0,0,0,0,0.614,0.614
ABL1,MLLT3,9606.ENSP00000361423,9606.ENSP00000369695,0,0,0,0,0,0,0,0.626,0.626
ABL1,NOTCH1,9606.ENSP00000361423,9606.ENSP00000498587,0,0,0,0,0.080,0.113,0,0.596,0.641
ABL1,SETBP1,9606.ENSP00000361423,9606.ENSP00000497406,0,0,0,0,0.056,0.077,0,0.643,0.662
ABL1,BCL2,9606.ENSP00000361423,9606.ENSP00000381185,0,0,0,0,0.055,0,0,0.668,0.673
ABL1,ASXL1,9606.ENSP00000361423,9606.ENSP00000364839,0,0,0,0,0.081,0.098,0,0.643,0.678
ABL1,SRC,9606.ENSP00000361423,9606.ENSP00000362680,0,0,0.078,0.877,0.107,0.591,0,0.161,0.680
ABL1,KMT2A,9606.ENSP00000361423,9606.ENSP00000436786,0,0,0,0,0.050,0.077,0,0.668,0.684
ABL1,CSF3R,9606.ENSP00000361423,9606.ENSP00000362195,0,0,0,0,0.083,0.077,0,0.662,0.689
ABL1,CBFB,9606.ENSP00000361423,9606.ENSP00000415151,0,0,0,0,0.042,0,0.400,0.507,0.691
ABL1,MUC1,9606.ENSP00000361423,9606.ENSP00000484824,0,0,0,0,0,0.331,0,0.565,0.696
ABL1,FBXW7,9606.ENSP00000361423,9606.ENSP00000474725,0,0,0,0,0,0.091,0,0.703,0.718
ABL1,PBX1,9606.ENSP00000361423,9606.ENSP00000405890,0,0,0,0,0.047,0,0,0.728,0.729
ABL1,SOCS1,9606.ENSP00000361423,9606.ENSP00000496577,0,0,0,0,0.109,0.450,0,0.544,0.757
ABL1,CDKN2A,9606.ENSP00000361423,9606.ENSP00000418915,0,0,0,0,0,0.095,0,0.749,0.763
ABL1,VAV1,9606.ENSP00000361423,9606.ENSP00000472929,0,0,0,0.554,0.134,0.510,0,0.493,0.766
ABL1,HRAS,9606.ENSP00000361423,9606.ENSP00000407586,0,0,0,0,0.081,0.110,0,0.755,0.782
ABL1,MYC,9606.ENSP00000361423,9606.ENSP00000478887,0,0,0,0,0.087,0.045,0,0.774,0.785
ABL1,WWTR1,9606.ENSP00000361423,9606.ENSP00000419465,0,0,0,0,0.045,0.071,0.750,0.166,0.790
ABL1,PIK3R1,9606.ENSP00000361423,9606.ENSP00000428056,0,0,0,0.551,0.062,0.793,0,0.203,0.832
ABL1,AFF1,9606.ENSP00000361423,9606.ENSP00000378578,0,0,0,0,0.128,0.097,0,0.819,0.845
ABL1,CDKN1A,9606.ENSP00000361423,9606.ENSP00000384849,0,0,0,0,0.105,0.296,0.400,0.716,0.878
ABL1,ROBO2,9606.ENSP00000361423,9606.ENSP00000417335,0,0,0,0,0.080,0.167,0.900,0.145,0.925
ABL1,ETV6,9606.ENSP00000361423,9606.ENSP00000379658,0,0,0,0,0.044,0.074,0,0.930,0.932
ABL1,CTNNB1,9606.ENSP00000361423,9606.ENSP00000495360,0,0,0,0,0.095,0.539,0.500,0.785,0.949
ABL1,BRCA1,9606.ENSP00000361423,9606.ENSP00000418960,0,0,0,0,0,0.483,0.500,0.847,0.956
ABL1,NTRK1,9606.ENSP00000361423,9606.ENSP00000431418,0,0,0,0.642,0,0.510,0.900,0.212,0.958
ABL1,ABL2,9606.ENSP00000361423,9606.ENSP00000427562,0,0,0.068,0.936,0.062,0.531,0.900,0.627,0.981
ABL1,ABI1,9606.ENSP00000361423,9606.ENSP00000365312,0,0,0,0,0,0.876,0.400,0.977,0.998
ABL2,FLT3,9606.ENSP00000427562,9606.ENSP00000241453,0,0,0,0.601,0.095,0.316,0.500,0.175,0.710
ABL2,PLCG1,9606.ENSP00000427562,9606.ENSP00000244007,0,0,0,0.548,0.067,0.322,0,0.447,0.619
ABL2,KRAS,9606.ENSP00000427562,9606.ENSP00000256078,0,0,0,0,0.074,0.195,0,0.289,0.424
ABL2,PDGFRB,9606.ENSP00000427562,9606.ENSP00000261799,0,0,0,0.579,0.068,0.316,0,0.267,0.492
ABL2,CREBBP,9606.ENSP00000427562,9606.ENSP00000262367,0,0,0,0,0.299,0.047,0,0.193,0.414
ABL2,CBL,9606.ENSP00000427562,9606.ENSP00000264033,0,0,0,0,0.076,0.311,0,0.252,0.482
ABL2,STAT3,9606.ENSP00000427562,9606.ENSP00000264657,0,0,0,0,0.107,0.454,0,0.286,0.622
ABL2,ERBB3,9606.ENSP00000427562,9606.ENSP00000267101,0,0,0,0.579,0,0.400,0,0.113,0.445
ABL2,ERBB2,9606.ENSP00000427562,9606.ENSP00000269571,0,0,0.109,0.590,0,0.615,0,0.162,0.687
ABL2,EGFR,9606.ENSP00000427562,9606.ENSP00000275493,0,0,0.125,0.591,0.047,0.709,0,0.208,0.782
ABL2,STAT5B,9606.ENSP00000427562,9606.ENSP00000293328,0,0,0,0,0.056,0.096,0,0.481,0.518
ABL2,TLX3,9606.ENSP00000427562,9606.ENSP00000296921,0,0,0,0,0,0.048,0,0.505,0.508
ABL2,MN1,9606.ENSP00000427562,9606.ENSP00000304956,0,0,0,0,0.042,0.053,0,0.475,0.482
ABL2,IKZF1,9606.ENSP00000427562,9606.ENSP00000331614,0,0,0,0,0,0.071,0,0.432,0.449
ABL2,FOXO3,9606.ENSP00000427562,9606.ENSP00000339527,0,0,0,0,0,0.094,0,0.412,0.445
ABL2,ERBB4,9606.ENSP00000427562,9606.ENSP00000342235,0,0,0,0.595,0,0.400,0,0.126,0.453
ABL2,RAC1,9606.ENSP00000427562,9606.ENSP00000348461,0,0,0,0,0.082,0.222,0.500,0.136,0.650
ABL2,NUP214,9606.ENSP00000427562,9606.ENSP00000352400,0,0,0,0,0,0,0,0.597,0.597
ABL2,TLX1,9606.ENSP00000427562,9606.ENSP00000359215,0,0,0,0,0,0.048,0,0.476,0.479
